.id	ID	SEX	GER	LIN	MADRE	PADRE	AGE	P49	line	selection	IS_PM	IS_NSL	IS_PNS	PM_ZS	PM_ZI	PM_MT	NSL_NA	NSL_ZS	NSL_ZI	NA_BR	NA_PNS	BR_PT	BR_APET	PT_APET	PT_BA	PT_EAM	PT_ZYGO	PT_TSP	ZS_ZI	ZI_MT	ZI_ZYGO	ZI_TSP	MT_PNS	PNS_APET	APET_BA	APET_TS	BA_EAM	EAM_ZYGO	ZYGO_TSP	LD_AS	BR_LD	OPI_LD	PT_AS	JP_AS	BA_OPI
control.t	270158	F	55	t	260902	261089	170	14.7	t	control	4.19875	2.99205	11.6325	7.9681	9.36325	6.9862	8.49365	11.95785	14.06765	6.9184	8.0675	4.4714	8.28385	8.03665	9.771	7.4697	5.44845	2.8505	2.5227	4.81285	2.99535	4.07505	1.84825	3.42655	2.7917	3.8311	5.5064	3.39125	4.18385	6.77505	7.8892	3.6449	6.8113	4.7646	4.48325
control.t	270162	F	55	t	260902	261089	118	17.4	t	control	4.71017160215	2.7971672231	11.7693818336	7.9386153083	8.772871706	6.912673153	9.06555803685	12.2405491158	13.98922845875	6.6775670603	7.87096845905	3.4672399858	7.6956675681	8.28588121525	10.6656108078	8.1108364367	6.3053532382	3.20475046405	2.5898873079	4.494145883	2.1599077074	4.2174361708	1.78185252935	4.7249921959	3.56602929945	3.65725873625	5.41703383385	5.2719923788	4.17738329685	6.54324596215	8.27395427455	3.6843890917	7.6201295843	4.13797423125	3.82028491575
control.t	270164	F	55	t	260918	261065	117	16.7	t	control	4.8128275324	2.67046867165	12.2432126902	8.0905325085	9.70211659565	7.14322765245	9.22974660255	12.4780963292	14.78947232845	6.91924356185	8.26210450185	4.10971842655	8.09446323565	8.54150375145	11.25102753015	8.4188687275	6.05230279555	2.87432415025	2.6592077115	5.0005441995	2.28497050845	3.7388968255	1.89542949085	4.4874359967	3.91878744195	3.8971160782	5.68863829045	4.38927862275	3.89313228565	6.5871220591	7.946212638	3.6431640648	7.8281357897	4.44808839875	4.12169552225
control.t	270166	F	55	t	260918	261065	169	17	t	control	4.82224848575	3.1147736464	12.5567696932	8.29935892335	9.69508766105	7.2140407917	9.31372663855	12.7600403444	15.0079110164	7.04725012685	8.70223213765	3.6946400971	8.38155325605	8.83773779235	11.34354008865	8.3903547763	6.2657270673	3.2787697706	2.8428094825	5.05864988	2.46005388415	4.0551728112	1.92363448675	4.6135372596	4.10367805725	4.0532958077	5.76290734615	4.7527344199	4.0390891313	6.79625488035	7.01655815215	4.91868742315	7.3140046847	4.3466442099	4.0454260631
control.t	270189	M	55	t	260902	261089	113	24.9	t	control	4.6561185933	2.81477153245	11.935085193	8.008274007	9.1168654416	7.03250516645	9.3956108732	12.4755105885	14.4599735191	6.4762014006	8.22746132285	5.1579127641	8.08062201705	8.30278260985	10.45477978245	8.0543320202	5.81648946615	2.94832746735	2.7152574167	4.50355876205	2.66046184275	3.98732655705	1.95390852065	4.6755748843	3.66325367305	3.96971945765	5.5681413897	4.52947031265	4.000347339	7.728747557	9.64518445145	4.1681253111	7.50438711075	4.1432857855	3.78151422
control.t	270191	M	55	t	260902	261089	113	19.8	t	control	4.4921643388	2.825164011	11.8246195406	7.83789757945	9.2365686117	6.9795048986	8.72336770525	12.19550011255	14.3335431823	6.7229397566	7.9659141377	3.6280481086	7.85635847575	8.1153624718	10.3634284203	7.90265348955	5.72121905425	3.1663822261	2.62014579325	4.6915681612	2.5669563691	3.5162076959	1.77172262795	4.3864357895	3.70914780265	3.8353226267	5.35619168045	4.2879104273	3.2204136496	6.5694315107	7.17919004095	3.66665559305	6.59281686035	4.49486813875	3.80302367685
control.t	270193	M	55	t	260918	261065	154	18.9	t	control	5.1058792224	2.81947923265	12.8132470823	8.28409924835	9.00095982355	7.1719199256	9.3352531462	13.15805671915	14.8106777414	6.9750962581	8.45185108955	3.64349295205	8.3850134585	8.8047806756	11.40688110085	8.4866310972	6.60410252215	3.07860619815	2.68234282025	4.8671478852	2.4777165742	4.5482983171	1.8406329812	4.47291572005	4.2881574486	3.8986223534	5.81047886345	5.5222890796	4.056069187	6.53437397015	8.2177566083	4.14478089645	6.9349195233	4.84086586765	3.85224052095
control.t	270197	M	55	t	260918	261065	112	23.5	t	control	4.7481875934	2.8614536036	12.2836970735	8.2272701277	9.2637454526	7.12211685395	9.2500066896	12.6126344173	14.3895210118	6.6385598512	7.96983164045	4.00239228545	7.93804384255	8.4410107039	11.08191183795	8.3137549688	6.00711904215	3.0414535102	2.37974553865	4.80306737635	2.77836232995	4.0565546664	1.8659969687	4.4811420132	4.30144548745	3.9468229621	5.7286475432	4.58545064835	3.94475812325	6.51278426655	7.3207368214	3.78728391545	6.94039918445	4.7536054759	3.75523945575
control.t	270199	M	55	t	260918	261065	112	20.7	t	control	5.1447710561	2.70867886325	12.04474813665	7.5329200619	8.64147546275	6.5252767304	8.77973247595	12.08663718555	14.18424013295	7.023966202	8.18084323265	4.2394449273	8.01937728095	8.47633199445	11.05584616375	8.2947282371	6.15513106115	2.88688049775	2.85772040815	4.61377425565	2.7577024061	4.1259777957	1.87096879025	4.36618781165	4.3583433632	4.12334286295	5.681256807	4.4983690199	3.8537509274	6.55157121605	7.78309745155	3.2468308762	7.1270349217	4.5872127193	3.86632845625
control.t	270264	F	55	t	260882	261071	168	35.7	t	control	4.6590320617	2.9019245596	12.29309768855	8.2235656884	9.40657213575	7.1633311533	9.8258504443	12.77739014295	14.59345983005	6.66272028125	7.5771349116	3.956455138	7.5216033783	7.9920364768	10.50507945225	8.1153827105	5.7947008823	2.9141891945	2.43226584615	4.6151401614	2.4053759946	3.784041605	1.78955587055	4.388041716	4.0414499236	3.997414298	5.4997266224	4.8318259781	3.637487874	6.3681503079	7.7307678993	3.81140534835	6.9908303379	4.68385591	4.0401820912
